Time,DateUTC,SolarRadiationWatts/m^2
10/20/15 0:03,10/20/15 7:03,0
10/20/15 0:08,10/20/15 7:08,0
10/20/15 0:13,10/20/15 7:13,0
10/20/15 0:18,10/20/15 7:18,0
10/20/15 0:23,10/20/15 7:23,0
10/20/15 0:29,10/20/15 7:29,0
10/20/15 0:34,10/20/15 7:34,0
10/20/15 0:39,10/20/15 7:39,0
10/20/15 0:44,10/20/15 7:44,0
10/20/15 0:49,10/20/15 7:49,0
10/20/15 0:54,10/20/15 7:54,0
10/20/15 0:59,10/20/15 7:59,0
10/20/15 1:04,10/20/15 8:04,0
10/20/15 1:09,10/20/15 8:09,0
10/20/15 1:14,10/20/15 8:14,0
10/20/15 1:19,10/20/15 8:19,0
10/20/15 1:24,10/20/15 8:24,0
10/20/15 1:29,10/20/15 8:29,0
10/20/15 1:34,10/20/15 8:34,0
10/20/15 1:39,10/20/15 8:39,0
10/20/15 1:45,10/20/15 8:45,0
10/20/15 1:50,10/20/15 8:50,0
10/20/15 1:55,10/20/15 8:55,0
10/20/15 2:00,10/20/15 9:00,0
10/20/15 2:05,10/20/15 9:05,0
10/20/15 2:15,10/20/15 9:15,0
10/20/15 2:20,10/20/15 9:20,0
10/20/15 2:25,10/20/15 9:25,0
10/20/15 2:30,10/20/15 9:30,0
10/20/15 2:35,10/20/15 9:35,0
10/20/15 2:40,10/20/15 9:40,0
10/20/15 2:45,10/20/15 9:45,0
10/20/15 2:50,10/20/15 9:50,0
10/20/15 2:55,10/20/15 9:55,0
10/20/15 3:01,10/20/15 10:01,0
10/20/15 3:06,10/20/15 10:06,0
10/20/15 3:11,10/20/15 10:11,0
10/20/15 3:16,10/20/15 10:16,0
10/20/15 3:21,10/20/15 10:21,0
10/20/15 3:26,10/20/15 10:26,0
10/20/15 3:31,10/20/15 10:31,0
10/20/15 3:36,10/20/15 10:36,0
10/20/15 3:41,10/20/15 10:41,0
10/20/15 3:46,10/20/15 10:46,0
10/20/15 3:51,10/20/15 10:51,0
10/20/15 3:56,10/20/15 10:56,0
10/20/15 4:01,10/20/15 11:01,0
10/20/15 4:06,10/20/15 11:06,0
10/20/15 4:11,10/20/15 11:11,0
10/20/15 4:17,10/20/15 11:17,0
10/20/15 4:22,10/20/15 11:22,0
10/20/15 4:27,10/20/15 11:27,0
10/20/15 4:32,10/20/15 11:32,0
10/20/15 4:37,10/20/15 11:37,0
10/20/15 4:42,10/20/15 11:42,0
10/20/15 4:47,10/20/15 11:47,0
10/20/15 4:52,10/20/15 11:52,0
10/20/15 4:57,10/20/15 11:57,0
10/20/15 5:02,10/20/15 12:02,0
10/20/15 5:07,10/20/15 12:07,0
10/20/15 5:12,10/20/15 12:12,0
10/20/15 5:17,10/20/15 12:17,0
10/20/15 5:22,10/20/15 12:22,0
10/20/15 5:27,10/20/15 12:27,0
10/20/15 5:33,10/20/15 12:33,0
10/20/15 5:38,10/20/15 12:38,0
10/20/15 5:48,10/20/15 12:48,0
10/20/15 5:53,10/20/15 12:53,0
10/20/15 5:58,10/20/15 12:58,0
10/20/15 6:03,10/20/15 13:03,0
10/20/15 6:08,10/20/15 13:08,0
10/20/15 6:13,10/20/15 13:13,0
10/20/15 6:18,10/20/15 13:18,0
10/20/15 6:23,10/20/15 13:23,0
10/20/15 6:28,10/20/15 13:28,0
10/20/15 6:33,10/20/15 13:33,0
10/20/15 6:38,10/20/15 13:38,0
10/20/15 6:43,10/20/15 13:43,0
10/20/15 6:53,10/20/15 13:53,0
10/20/15 6:58,10/20/15 13:58,0
10/20/15 7:03,10/20/15 14:03,3.04
